company,country,director,genre,name,rating,star,writer,released,budget,gross,runtime,score,votes,year
Warner Bros.,USA,Richard Donner,Action,Lethal Weapon 3,R,Mel Gibson,Jeffrey Boam,15/05/1992,35000000,144731527,118,6.7,136206,1992
Canal+,France,Roman Polanski,Drama,Luna amarga,R,Hugh Grant,Pascal Bruckner,18/03/1994,5000000,1862805,139,7.2,28002,1992
Allied Vision,UK,Brett Leonard,Horror,The Lawnmower Man,R,Jeff Fahey,Stephen King,06/03/1992,10000000,32101000,108,5.4,29522,1992
New Line Cinema,USA,Katt Shea,Drama,Poison Ivy,R,Drew Barrymore,Melissa Goddard,08/05/1992,3000000,1829804,88,5.4,14751,1992
Hollywood Pictures,USA,Curtis Hanson,Drama,The Hand That Rocks the Cradle,R,Annabella Sciorra,Amanda Silver,10/01/1992,11700000,88036683,110,6.6,31853,1992
Ladybugs,USA,Sidney J. Furie,Comedy,Ladybugs,PG-13,Rodney Dangerfield,Curtis Burch,27/03/1992,0,14796494,90,5.3,7236,1992
Columbia Pictures Corporation,USA,Barbet Schroeder,Drama,Single White Female,R,Bridget Fonda,John Lutz,14/08/1992,16000000,47922919,107,6.3,25871,1992
Bad Lt. Productions,USA,Abel Ferrara,Crime,Bad Lieutenant,NC-17,Harvey Keitel,Zoë Lund,17/12/1992,1000000,2000022,96,7.1,31763,1992
Touchstone Pictures,USA,Jon Turteltaub,Action,3 Ninjas,PG,Victor Wong,Kenny Kim,07/08/1992,6500000,29000301,84,5.2,17402,1992
Universal Pictures,USA,Phil Alden Robinson,Comedy,Sneakers,PG-13,Robert Redford,Phil Alden Robinson,11/09/1992,35000000,51433000,126,7.1,46109,1992
Paramount Pictures,USA,Reginald Hudlin,Comedy,Boomerang,R,Eddie Murphy,Eddie Murphy,01/07/1992,40000000,70100000,117,5.4,21723,1992
Avenue Pictures,USA,Robert Altman,Comedy,The Player,R,Tim Robbins,Michael Tolkin,08/05/1992,8000000,21706100,124,7.6,45208,1992
Baltimore Pictures,USA,Barry Levinson,Adventure,Toys,PG-13,Robin Williams,Valerie Curtin,18/12/1992,43000000,21452082,118,5,27750,1992
Gaumont,France,Ridley Scott,Adventure,1492: Conquista del Paraíso,PG-13,Gérard Depardieu,Rose Bosch,09/10/1992,47000000,7191399,154,6.5,24155,1992
Les Artistes Anonymes,Belgium,Rémy Belvaux,Comedy,Man Bites Dog,NC-17,Benoît Poelvoorde,Rémy Belvaux,15/01/1993,0,205569,95,7.6,30524,1992
Twentieth Century Fox Film Corporation,USA,Danny DeVito,Biography,Hoffa,R,Jack Nicholson,David Mamet,25/12/1992,35000000,24276500,140,6.6,18198,1992
Warner Bros.,USA,Kevin Hooks,Action,Passenger 57,R,Wesley Snipes,Stewart Raffill,06/11/1992,15000000,44065653,84,5.8,39076,1992
Merchant Ivory Productions,UK,James Ivory,Drama,Howards End,PG,Anthony Hopkins,E.M. Forster,26/02/1993,0,25967000,140,7.5,22936,1992
Arau Films Internacional,Mexico,Alfonso Arau,Drama,Como agua para chocolate,R,Marco Leonardi,Laura Esquivel,28/05/1993,2000000,21665500,105,7.2,14517,1992
"Australian Film Commission, The",Australia,Geoffrey Wright,Crime,Romper Stomper,R,Russell Crowe,Geoffrey Wright,12/11/1992,0,175340,94,6.8,33340,1992
Nouvelles Éditions de Films (NEF),UK,Louis Malle,Drama,Damage,R,Jeremy Irons,David Hare,22/01/1993,0,7532911,111,6.9,13297,1992
Columbia Pictures Corporation,USA,Robert Rodriguez,Action,El Mariachi,R,Carlos Gallardo,Robert Rodriguez,26/02/1993,7000,2040920,81,6.9,55226,1992
M & A,Australia,Baz Luhrmann,Comedy,Strictly Ballroom,PG,Paul Mercurio,Baz Luhrmann,12/02/1993,0,11738022,94,7.2,21634,1992
Warner Bros.,USA,John Landis,Action,Innocent Blood,R,Anne Parillaud,Michael Wolk,25/09/1992,0,4972818,112,6.2,7833,1992
Olmos Productions,USA,Edward James Olmos,Biography,American Me,R,Edward James Olmos,Floyd Mutrux,13/03/1992,16000000,13086430,125,7.2,6417,1992
Paramount Pictures,USA,Ralph Bakshi,Animation,Cool World,PG-13,Gabriel Byrne,Michael Grais,10/07/1992,30000000,14110600,102,4.8,17780,1992
Touchwood Pacific Partners 1,USA,Randal Kleiser,Adventure,Honey I Blew Up the Kid,PG,Rick Moranis,Stuart Gordon,17/07/1992,40000000,58662452,89,4.7,34421,1992
Adventure Pictures,UK,Sally Potter,Biography,Orlando,PG-13,Tilda Swinton,Sally Potter,09/06/1993,4000000,5289772,94,7.2,10849,1992
Warner Bros.,USA,Steve Miner,Drama,Forever Young,PG,Mel Gibson,J.J. Abrams,16/12/1992,0,55956200,102,6.3,38863,1992
Metro-Goldwyn-Mayer (MGM),USA,Paul Michael Glaser,Drama,The Cutting Edge,PG,D.B. Sweeney,Tony Gilroy,27/03/1992,0,25105517,101,6.9,16022,1992
Columbia Pictures Corporation,USA,Richard Donner,Drama,Radio Flyer,PG-13,Lorraine Bracco,David Mickey Evans,21/02/1992,35000000,4651977,114,6.9,10947,1992
Davis Entertainment,Australia,Stuart Gordon,Action,Fortress,R,Christopher Lambert,Troy Neighbors,03/09/1993,8000000,6739141,95,5.9,24573,1992
Cinema Plus,USA,Greg Beeman,Adventure,Mom and Dad Save the World,PG,Teri Garr,Chris Matheson,24/07/1992,14000000,2034470,88,5.3,3656,1992
Warner Bros.,USA,Christopher Cain,Drama,Pure Country,PG,George Strait,Rex McGee,23/10/1992,0,15164458,112,6.9,3075,1992
Pacific Western,USA,Brian De Palma,Crime,Raising Cain,R,John Lithgow,Brian De Palma,07/08/1992,12000000,21370057,91,6,10992,1992
Turner Pictures (I),USA,Phil Roman,Animation,The Tom and Jerry Movie,G,Richard Kind,Dennis Marks,30/07/1993,3500000,3560469,84,5.3,7519,1992
Gallery Films,USA,Aaron Norris,Action,Sidekicks,PG,Chuck Norris,Lou Illar,30/04/1993,0,17180393,101,4.9,6775,1992
Hollywood Pictures,USA,Sidney Lumet,Crime,A Stranger Among Us,PG-13,Melanie Griffith,Robert J. Avrech,17/07/1992,0,12282994,110,5.7,2947,1992
Alcor Films,Australia,John G. Avildsen,Drama,The Power of One,PG-13,Stephen Dorff,Bryce Courtenay,27/03/1992,0,2827107,127,7.2,7949,1992
Largo Entertainment,Japan,Jonathan Kaplan,Crime,Unlawful Entry,R,Kurt Russell,George Putnam,26/06/1992,0,57138719,117,6.3,11981,1992
Hollywood Pictures,USA,John McTiernan,Adventure,Medicine Man,PG-13,Sean Connery,Tom Schulman,07/02/1992,40000000,45500797,106,6,18461,1992
Morgan Creek Productions,USA,Peter Hyams,Adventure,Stay Tuned,PG,John Ritter,Tom S. Parker,14/08/1992,0,10736401,88,6.1,8697,1992
Universal Pictures,USA,George Miller,Drama,Lorenzo's Oil,PG-13,Nick Nolte,George Miller,29/01/1993,30000000,7286388,129,7.2,17514,1992
Challenge Film Corporation,UK,Tony Maylam,Action,Split Second,R,Rutger Hauer,Gary Scott Thompson,01/05/1992,7000000,5430822,90,6.2,9103,1992
Hollywood Pictures,USA,Alan J. Pakula,Crime,Consenting Adults,R,Kevin Kline,Matthew Chapman,16/10/1992,18000000,21591728,99,5.7,5783,1992
Hawn / Sylbert Movie Company,USA,Chris Menges,Crime,CrissCross,R,Goldie Hawn,Scott Sommer,08/05/1992,0,3052738,100,5.8,1383,1992
Twentieth Century Fox Film Corporation,USA,Dwight H. Little,Action,Rapid Fire,R,Brandon Lee,Cindy Cirile,21/08/1992,10000000,14356479,95,6.3,6784,1992
Touchstone Pictures,USA,Peter Bogdanovich,Comedy,Noises Off...,PG-13,Michael Caine,Michael Frayn,20/03/1992,12000000,2280148,101,7.5,8745,1992
Columbia Pictures Corporation,USA,Stephen Frears,Comedy,Hero,PG-13,Dustin Hoffman,Laura Ziskin,02/10/1992,42000000,19507345,119,6.5,18627,1992
Allied Filmmakers,France,Roland Joffé,Drama,City of Joy,PG-13,Patrick Swayze,Dominique Lapierre,17/04/1992,27000000,14683921,132,6.4,4193,1992
Golden Harvest Company,Hong Kong,Stanley Tong,Action,Supercop,R,Jackie Chan,Edward Tang,26/07/1996,900000,16270600,95,6.9,16056,1992
TriStar Pictures,USA,Michael Apted,Crime,Thunderheart,R,Val Kilmer,John Fusco,03/04/1992,15000000,22660758,119,6.8,12056,1992
Castle Rock Entertainment,USA,Andrew Bergman,Comedy,Honeymoon in Vegas,PG-13,James Caan,Andrew Bergman,28/08/1992,25000000,35208854,96,5.8,15079,1992
Walt Disney Pictures,USA,Brian Henson,Comedy,The Muppet Christmas Carol,G,Michael Caine,Charles Dickens,11/12/1992,12000000,27281507,85,7.7,37054,1992
Corn Cobb Productions,USA,David Price,Horror,Children of the Corn II: The Final Sacrifice,R,Terence Knox,Stephen King,29/01/1993,900000,6980986,92,4.2,6311,1992
Northern Lights Entertainment,USA,Roger Spottiswoode,Action,Stop! Or My Mom Will Shoot,PG-13,Sylvester Stallone,Blake Snyder,21/02/1992,45000000,28411210,87,4.1,33574,1992
British Broadcasting Corporation (BBC),UK,Kenneth Branagh,Comedy,Peter's Friends,R,Hugh Laurie,Rita Rudner,25/12/1992,5000000,4058564,101,7,9009,1992
Universal Pictures,USA,Arthur Hiller,Biography,The Babe,PG,John Goodman,John Fusco,17/04/1992,0,17530973,100,5.9,8040,1992
Penta Pictures,USA,Dale Launer,Comedy,Love Potion No. 9,PG-13,Tate Donovan,Dale Launer,13/11/1992,0,754935,92,5.6,11082,1992
Universal Pictures,USA,Walter Hill,Action,Trespass,R,Bill Paxton,Bob Gale,25/12/1992,14000000,13747138,101,6.2,8433,1992
TriStar Pictures,USA,Woody Allen,Comedy,Husbands and Wives,R,Woody Allen,Woody Allen,18/09/1992,20000000,10555619,103,7.6,23108,1992
IRS Media,USA,Carl Franklin,Crime,One False Move,R,Bill Paxton,Billy Bob Thornton,08/05/1992,0,1543112,105,7.2,8085,1992
Paramount Pictures,USA,Bruce Robinson,Crime,Jennifer 8,R,Andy Garcia,Bruce Robinson,06/11/1992,20000000,11390479,124,6.2,12992,1992
Columbia Pictures Corporation,USA,Rowdy Herrington,Action,Gladiator,R,Cuba Gooding Jr.,Djordje Milicevic,06/03/1992,0,9223441,101,6.4,7094,1992
Warner Bros.,USA,John Carpenter,Comedy,Memoirs of an Invisible Man,PG-13,Chevy Chase,H.F. Saint,28/02/1992,40000000,14358033,99,5.9,18652,1992
Columbia Pictures Corporation,USA,Peter MacDonald,Action,Mo' Money,R,Damon Wayans,Damon Wayans,24/07/1992,15000000,40227000,89,5.4,5876,1992
Dark Horse Entertainment,USA,Manny Coto,Comedy,Dr. Giggles,R,Larry Drake,Manny Coto,23/10/1992,0,8403433,95,5.1,4705,1992
Imagine Entertainment,USA,Frank Oz,Comedy,HouseSitter,PG,Steve Martin,Mark Stein,12/06/1992,0,58500635,102,6,18396,1992
Warner Bros.,USA,Randall Miller,Comedy,Class Act,PG-13,Christopher Reid,Michael Swerdlick,05/06/1992,7500000,13272113,98,6,4351,1992
Dino de Laurentiis Communications,USA,Bruce A. Evans,Action,Kuffs,PG-13,Christian Slater,Bruce A. Evans,10/01/1992,0,21142815,102,5.8,8420,1992
Enchantment Films Inc.,USA,Stephen Milburn Anderson,Crime,South Central,R,Byron Minns,Stephen Milburn Anderson,18/09/1992,4000000,1373196,99,6.8,3841,1992
Warner Bros.,USA,Phil Joanou,Drama,Final Analysis,R,Richard Gere,Robert Berger,07/02/1992,32000000,28590665,124,5.8,11503,1992
Alcor Films,France,Arne Glimcher,Drama,The Mambo Kings,R,Armand Assante,Oscar Hijuelos,28/02/1992,15500000,6742168,104,6.4,4469,1992
Paradis Films,France,Régis Wargnier,Drama,Indochine,PG-13,Catherine Deneuve,Erik Orsenna,23/12/1992,0,5734232,148,7.1,7851,1992
Morgan Creek Productions,USA,Geoff Murphy,Action,Freejack,R,Emilio Estevez,Robert Sheckley,17/01/1992,30000000,17129000,110,5.3,12883,1992
Twentieth Century Fox Film Corporation,USA,David Seltzer,Drama,Shining Through,R,Michael Douglas,Susan Isaacs,31/01/1992,0,21733781,132,6.4,7877,1992
Image Organization,USA,Bill Duke,Action,Deep Cover,R,Laurence Fishburne,Michael Tolkin,15/04/1992,0,16639799,107,6.9,7163,1992
Alcor Films,France,Craig Bolotin,Drama,That Night,PG-13,C. Thomas Howell,Alice McDermott,06/08/1993,0,20194,89,6.7,1798,1992
Animatógrafo,Spain,Fernando Trueba,Comedy,Belle Epoque,R,Fernando Fernán Gómez,Rafael Azcona,25/02/1994,0,5971369,109,7.2,7915,1992
Hollywood Pictures,USA,Jonathan Lynn,Comedy,The Distinguished Gentleman,R,Eddie Murphy,Marty Kaplan,04/12/1992,50000000,46666502,112,5.9,13167,1992
Christopher Columbus Productions,UK,John Glen,Adventure,Christopher Columbus: The Discovery,PG-13,Marlon Brando,Mario Puzo,21/08/1992,40000000,8251071,120,4.4,2418,1992
Imperial Entertainment,Denmark,Albert Pyun,Action,Nemesis,R,Olivier Gruner,Rebecca Charles,29/01/1993,0,2001124,95,5.6,3987,1992
Dimension Films,Hong Kong,Ringo Lam,Action,Twin Dragons,PG-13,Jackie Chan,Barry Wong,09/04/1999,10000000,8332431,104,6.4,9292,1992
Paramount Pictures,USA,Richard Pearce,Comedy,Leap of Faith,PG-13,Steve Martin,Janus Cercone,18/12/1992,0,23369283,108,6.1,10455,1992
Metro-Goldwyn-Mayer (MGM),USA,Michael Ritchie,Drama,Diggstown,R,James Woods,Leonard Wise,14/08/1992,17000000,4836637,98,7,6006,1992
Miramax,USA,Tim Robbins,Comedy,Bob Roberts,R,Tim Robbins,Tim Robbins,04/09/1992,0,4479470,102,7,12074,1992
New Line Cinema,USA,Joan Micklin Silver,Comedy,Big Girls Don't Cry... They Get Even,PG,Griffin Dunne,Frank Mugavero,08/05/1992,0,271327,96,6.5,1493,1992
A&M; Films,USA,Keith Gordon,Drama,A Midnight Clear,R,Peter Berg,William Wharton,24/04/1992,5000000,1526697,108,7.2,7365,1992
Cinemabrain,Japan,Ryû Murakami,Drama,Tokyo Decadence,NC-17,Miho Nikaido,Ryû Murakami,30/04/1993,0,277813,135,6.1,2276,1992
American Zoetrope,USA,Carroll Ballard,Action,Wind,PG-13,Matthew Modine,Jeff Benjamin,11/09/1992,29000000,5519569,126,6.5,2123,1992
Orion Pictures,USA,Jonathan Kaplan,Drama,Love Field,PG-13,Michelle Pfeiffer,Don Roos,12/02/1993,18000000,1949148,105,6.7,3099,1992
Morgan Creek Productions,USA,Roger Donaldson,Action,White Sands,R,Willem Dafoe,Daniel Pyne,24/04/1992,0,9011574,101,6,5881,1992
Channel Four Films,Ireland,Mike Newell,Adventure,Into the West,PG,Gabriel Byrne,Jim Sheridan,17/09/1993,0,4790801,100,7,2324,1992
DENTSU Music And Entertainment,USA,Fred Schepisi,Comedy,Mr. Baseball,PG-13,Tom Selleck,Theo Pelletier,02/10/1992,40000000,20883046,108,5.9,8610,1992
Cineville,USA,Allison Anders,Drama,"Gas, Food Lodging",R,Brooke Adams,Richard Peck,10/07/1992,0,1345236,101,6.7,2888,1992
Sigma Film Productions,Netherlands,Roeland Kerbosch,Drama,For a Lost Soldier,NOT RATED,Maarten Smit,Don Bloch,07/05/1993,0,386329,92,7.6,3840,1992
Penta Films,USA,Irwin Winkler,Comedy,Night and the City,R,Robert De Niro,Gerald Kersh,23/10/1992,20000000,6202756,105,5.8,3900,1992
Hollywood Pictures,USA,Barnet Kellman,Comedy,Straight Talk,PG,Dolly Parton,Craig Bolotin,03/04/1992,0,21202099,91,5.7,2885,1992
Ixtlan,USA,Anthony Drazan,Drama,Zebrahead,R,Michael Rapaport,Anthony Drazan,23/10/1992,0,1468300,100,6.3,1044,1992
British Screen Productions,UK,Stephen Gyllenhaal,Drama,Waterland,R,Jeremy Irons,Graham Swift,30/10/1992,10000000,1034287,95,6.7,1855,1992
Green Umbrella Ltd.,USA,Gillies MacKinnon,Drama,The Playboys,PG-13,Albert Finney,Shane Connaughton,22/04/1992,0,4906900,117,6.4,973,1992
Twentieth Century Fox Film Corporation,USA,Nora Ephron,Drama,This Is My Life,PG-13,Julie Kavner,Meg Wolitzer,21/02/1992,0,2922094,100,6,929,1992
Carolco Pictures,USA,Paul Schrader,Crime,Light Sleeper,R,Willem Dafoe,Paul Schrader,13/03/1992,5000000,1050861,103,6.9,3999,1992
Cineplex Odeon Films,Germany,Carl Schenkel,Crime,Juego a muerte,R,Christopher Lambert,Brad Mirman,22/01/1993,0,923418,108,6.1,6433,1992
Hyperion Pictures,USA,Bruce W. Smith,Animation,Bébé's Kids,PG-13,Faizon Love,Robin Harris,31/07/1992,0,8442162,70,5.5,3387,1992
Gruskoff/Levy Company,USA,Norman René,Comedy,Prelude to a Kiss,PG-13,Meg Ryan,Craig Lucas,10/07/1992,0,20006730,105,5.6,6849,1992
Alliance Films Corporation,Canada,Jean-Claude Lauzon,Comedy,Léolo,NOT RATED,Maxime Collin,Jean-Claude Lauzon,02/04/1993,0,610488,107,7.6,5950,1992
Ascot Film,Germany,Eugene Levy,Comedy,Once Upon a Crime...,PG,John Candy,Rodolfo Sonego,06/03/1992,0,8669847,94,5.8,3150,1992
Meir Teper,USA,Barry Primus,Comedy,Mistress,R,Robert Wuhl,Barry Primus,24/07/1992,0,1102469,110,5.5,1766,1992
Castle Rock Entertainment,USA,Billy Crystal,Comedy,Mr. Saturday Night,R,Billy Crystal,Billy Crystal,25/09/1992,43000000,13351357,119,5.8,3990,1992
Penta Entertainment,USA,Bob Rafelson,Comedy,Man Trouble,PG-13,Jack Nicholson,Carole Eastman,17/07/1992,30000000,4096030,100,4.6,2557,1992
Avenue Pictures,USA,Martin Bell,Crime,American Heart,R,Jeff Bridges,Peter Silverman,07/05/1993,10000000,384048,113,6.8,2634,1992
No Frills Film Production,USA,Neal Jimenez,Drama,The Waterdance,R,Eric Stoltz,Neal Jimenez,13/05/1992,2700000,1723319,106,6.9,2369,1992
Carolco Pictures,UK,John Glen,Action,Aces: Iron Eagle III,R,Louis Gossett Jr.,Kevin Alyn Elders,12/06/1992,0,2517600,98,3.5,2424,1992
Sovereign Pictures,UK,Lizzie Borden,Romance,Love Crimes,R,Sean Young,Allan Moyle,24/01/1992,0,2387928,90,4.1,745,1992
Penta Pictures,USA,Ted Kotcheff,Comedy,Folks!,PG-13,Tom Selleck,Robert Klane,01/05/1992,0,6132924,107,5.5,2147,1992
Atchafalaya,USA,John Sayles,Drama,Passion Fish,R,Mary McDonnell,John Sayles,11/12/1992,3330000,5414619,135,7.5,4448,1992
Alliance Communications Corporation,USA,Alexandre Rockwell,Comedy,In the Soup,R,Steve Buscemi,Sollace Mitchell,13/08/1992,0,256249,93,7.1,2047,1992
Universal Pictures,USA,Howard Franklin,Crime,The Public Eye,R,Joe Pesci,Howard Franklin,16/10/1992,0,3067917,99,6.5,2773,1992
Orion Pictures,USA,Howard Deutch,Drama,Article 99,R,Ray Liotta,Ron Cutler,13/03/1992,18000000,6375979,100,6.1,2585,1992
Davis Entertainment,USA,Mark Frost,Drama,Storyville,R,James Spader,Frank Galbally,30/09/1992,0,422503,113,5.8,963,1992
Paramount Pictures,USA,Dennis Dugan,Comedy,Brain Donors,PG,John Turturro,Pat Proft,17/04/1992,0,918239,100,7.1,3491,1992
"Australian Film Commission, The",Australia,Mark Joffe,Comedy,The Efficiency Expert,PG,Anthony Hopkins,Max Dann,06/11/1992,0,101307,100,6.3,1456,1992
American Playhouse,Italy,Hal Hartley,Crime,Simple Men,R,Robert John Burke,Hal Hartley,06/11/1992,3000000,141554,105,7.2,3563,1992
Interscope Communications,USA,Francis Veber,Comedy,Out on a Limb,PG,Matthew Broderick,Daniel Goldin,04/09/1992,0,1659542,100,5.2,1368,1992
Hollywood Pictures,USA,Charlie Peters,Comedy,Passed Away,PG-13,Bob Hoskins,Charlie Peters,24/04/1992,0,4030793,96,5.9,1053,1992
Compagnie Eric Rohmer (CER),France,Éric Rohmer,Drama,A Tale of Winter,NOT RATED,Charlotte Véry,Éric Rohmer,29/01/1992,0,213687,114,7.6,2948,1992
SVT Drama,Sweden,Bille August,Biography,The Best Intentions,NOT RATED,Samuel Fröler,Ingmar Bergman,10/07/1992,0,1253106,100,7.9,2326,1992
Zeta Entertainment,USA,Tamra Davis,Crime,Guncrazy,R,Drew Barrymore,Matthew Bright,09/09/1993,800000,114516,97,5.6,1768,1992
Paramount Pictures,USA,Christopher Crowe,Drama,Whispers in the Dark,R,Annabella Sciorra,Christopher Crowe,07/08/1992,18000000,11124511,103,5.6,1674,1992
Memfis Film,Sweden,Colin Nutley,Comedy,House of Angels,R,Helena Bergström,Colin Nutley,06/08/1993,0,288633,127,6.4,3564,1992
Kaijyu Theater,Japan,Shin'ya Tsukamoto,Horror,Tetsuo II: Body Hammer,R,Tomorô Taguchi,Shin'ya Tsukamoto,15/08/1997,0,2550,83,6.4,3259,1992
Ang Lee Productions,Taiwan,Ang Lee,Comedy,Pushing Hands,NOT RATED,Bozhao Wang,Ang Lee,20/01/1996,400000,152322,105,7.3,2826,1992
Castle Rock Entertainment,USA,Peter Yates,Action,Year of the Comet,PG-13,Penelope Ann Miller,William Goldman,24/04/1992,0,2791515,91,5.8,1207,1992
British Film Institute (BFI),UK,Terence Davies,Biography,The Long Day Closes,PG,Leigh McCormack,Terence Davies,28/05/1993,0,161179,85,7.5,2003,1992
Erre Produzioni,Italy,Gianni Amelio,Drama,The Stolen Children,NOT RATED,Enrico Lo Verso,Gianni Amelio,03/03/1993,0,931280,114,7.5,2101,1992
Bellboy Films Limited,UK,Mark Herman,Comedy,Blame It on the Bellboy,PG-13,Bronson Pinchot,Mark Herman,06/03/1992,0,3104545,78,5.4,2155,1992
Vision International,France,Jacques Dorfmann,Adventure,Shadow of the Wolf,PG-13,Lou Diamond Phillips,Jacques Dorfmann,05/03/1993,0,1448640,112,5.7,710,1992
Once Upon a Time Films,USA,Matthew Meshekoff,Comedy,The Opposite Sex and How to Live with Them,R,Arye Gross,Noah Stern,26/03/1993,3000000,690966,100,4.9,540,1992
"Samuel Goldwyn Company, The",USA,Andy Wolk,Crime,Traces of Red,R,Jim Belushi,Jim Piddock,11/11/1992,0,3206713,105,5.2,1306,1992
Metro-Goldwyn-Mayer (MGM),USA,Bruce Beresford,Drama,Rich in Love,PG-13,Albert Finney,Josephine Humphreys,05/03/1993,18000000,2149735,100,6.3,689,1992
Distant Horizon,USA,Temístocles López,Drama,Chain of Desire,NOT RATED,Linda Fiorentino,Temístocles López,30/07/1993,0,222552,100,5.4,360,1992
Film Par Film,France,Claude Sautet,Drama,Un Coeur en Hiver,NOT RATED,Daniel Auteuil,Claude Sautet,04/06/1993,0,1666511,105,7.7,7657,1992
Miramax,USA,Leslie Harris,Drama,Just Another Girl on the I.R.T.,R,Ariyan A. Johnson,Leslie Harris,19/03/1993,0,479169,92,6.3,698,1992
Banfilm,France,Cyril Collard,Biography,Savage Nights,NOT RATED,Cyril Collard,Cyril Collard,25/02/1994,0,662341,126,7.1,1921,1992
Central Motion Pictures,Taiwan,Ming-liang Tsai,Crime,Rebels of the Neon God,NOT RATED,Chao-jung Chen,Ming-liang Tsai,04/08/1994,0,28422,106,7.6,2251,1992
Mirage Entertainment,USA,Edward Zwick,Comedy,Leaving Normal,R,Christine Lahti,Ed Solomon,29/04/1992,0,1514114,110,6.7,1217,1992
Desperate Pictures,USA,Gregg Araki,Comedy,The Living End,NOT RATED,Mike Dytri,Gregg Araki,21/08/1992,22769,692585,81,6.5,2140,1992
Sil-Metropole Organisation,China,Yimou Zhang,Comedy,The Story of Qiu Ju,PG,Li Gong,Yuan Bin Chen,16/04/1993,0,1890247,101,7.6,4429,1992
Outlaw Productions (I),USA,Mike Binder,Comedy,Crossing the Bridge,R,Josh Charles,Mike Binder,11/09/1992,0,479676,103,6.4,681,1992
British Broadcasting Corporation (BBC),South Africa,Darrell Roodt,Drama,Sarafina!,PG-13,Whoopi Goldberg,Mbongeni Ngema,25/09/1992,0,7306242,117,6.4,1586,1992
Kuzui Enterprises,UK,John Mackenzie,Biography,Ruby,R,Danny Aiello,Stephen Davis,27/03/1992,0,919286,110,5.5,1239,1992
Australian Film Finance Corporation (AFFC),Australia,Vincent Ward,Adventure,Map of the Human Heart,R,Jason Scott Lee,Louis Nowra,14/05/1993,0,2806881,109,7.2,2779,1992
Oliane Productions,France,Agnieszka Holland,Drama,"Olivier, Olivier",R,Brigitte Roüan,Agnieszka Holland,03/03/1993,0,1256355,110,7.7,1462,1992
Cannon Pictures,USA,Charles Martin Smith,Action,Fifty/Fifty,R,Peter Weller,Dennis Shryack,26/02/1993,0,229041,101,5.8,550,1992
Majestic Films International,USA,Graeme Clifford,Mystery,Ruby Cairo,PG-13,Andie MacDowell,Robert Dillon,29/10/1993,24000000,608866,100,5,1886,1992
In The Bag Productions,USA,Allan Moyle,Comedy,The Gun in Betty Lou's Handbag,PG-13,Penelope Ann Miller,Grace Cary Bickley,21/08/1992,13000000,3721911,89,5,1430,1992
JVC Entertainment Networks,USA,Beeban Kidron,Comedy,Used People,PG-13,Shirley MacLaine,Todd Graff,22/01/1993,16000000,17957265,100,6,1225,1992
Cannon Pictures Inc.,USA,Richard Danus,Thriller,No Place to Hide,R,Kris Kristofferson,Richard Danus,16/04/1993,0,135004,100,5.6,505,1992
RainCity Productions,USA,Alan Rudolph,Crime,Equinox,R,Matthew Modine,Alan Rudolph,11/06/1993,0,279627,110,5.7,1033,1992
Cannon Pictures,USA,Arthur Allan Seidelman,Action,Rescue Me,PG-13,Michael Dudikoff,Mike Snyder,03/12/1993,0,198504,99,5.5,455,1992
Trimark Pictures,USA,Fritz Kiersch,Action,Into the Sun,R,Anthony Michael Hall,John Brancato,31/01/1992,0,641886,101,5.2,664,1992
Hollywood Road Films,UK,Jon Acevski,Animation,Freddie as F.R.O.7.,PG,Ben Kingsley,Jon Acevski,28/08/1992,0,1119368,100,5.1,561,1992
New Line Cinema,USA,Abbe Wool,Adventure,Roadside Prophets,R,John Doe,Abbe Wool,08/10/1992,0,147724,100,6.5,1065,1992
Not specified,Argentina,Adolfo Aristarain,Drama,A Place in the World,PG,José Sacristán,Adolfo Aristarain,1994,0,100986,120,7.9,1880,1992
Demi-Monde Productions,USA,Nicole Conn,Drama,Claire of the Moon,NOT RATED,Trisha Todd,Nicole Conn,21/10/1993,130000,799674,107,4.9,843,1992
Wong Jing's Workshop Ltd.,Hong Kong,Clarence Yiu-leung Fok,Action,Naked Killer,R,Chingmy Yau,Jing Wong,04/08/1995,0,28676,100,6,1896,1992
Macfilm productions,USA,John Turturro,Drama,Mac,R,John Turturro,John Turturro,19/02/1993,0,471120,117,6.3,787,1992
Glamour Films,India,Mukul Anand,Action,Khuda Gawah,NOT RATED,Amitabh Bachchan,Rajkumar Bedi,08/05/1992,0,2567,193,6.6,1407,1992
IRS Media,USA,Stacy Cochran,Comedy,My New Gun,R,Diane Lane,Stacy Cochran,26/10/1992,0,123587,99,5.6,583,1992
"Thrill Me, Productions",USA,Joel Hershman,Comedy,Hold Me Thrill Me Kiss Me,R,Max Parrish,Joel Hershman,30/07/1993,0,130377,92,6,371,1992
American Playhouse,USA,Tom Kalin,Crime,Swoon,NOT RATED,Daniel Schlachet,Tom Kalin,25/09/1992,250000,340147,93,6.8,1365,1992
Island World,USA,Nick Gomez,Crime,Laws of Gravity,R,Peter Greene,Nick Gomez,20/08/1993,38000,117480,100,7,769,1992
Rhythm & Hues Studios,USA,Kenny Ortega,Comedy,Hocus Pocus,PG,Bette Midler,David Kirschner,16/07/1993,28000000,39514713,96,6.7,67192,1993
Hollywood Pictures,USA,George P. Cosmatos,Action,Tombstone,R,Kurt Russell,Kevin Jarre,25/12/1993,25000000,56505065,130,7.8,103911,1993
