company,country,director,genre,name,rating,star,writer,released,budget,gross,runtime,score,votes,year
Paramount Pictures,USA,Tom McLoughlin,Horror,Jason Lives: Friday the 13th Part VI,R,Thom Mathews,Tom McLoughlin,01/08/1986,3000000,19472057,86,5.9,28310,1986
The Saul Zaentz Company,USA,Peter Weir,Adventure,The Mosquito Coast,PG,Harrison Ford,Paul Theroux,26/11/1986,25000000,14302779,117,6.6,23076,1986
Universal Pictures,USA,Don Bluth,Animation,An American Tail,G,Dom DeLuise,Judy Freudberg,21/11/1986,0,47483002,80,6.9,41004,1986
Initial Pictures,UK,Alex Cox,Biography,Sid and Nancy,R,Gary Oldman,Alex Cox,07/11/1986,4000000,2826523,112,7.1,25032,1986
De Laurentiis Entertainment Group (DEG),USA,John Guillermin,Action,King Kong Lives,PG-13,Brian Kerwin,Ronald Shusett,19/12/1986,10000000,4711220,105,3.8,4401,1986
Empire Pictures,USA,Stuart Gordon,Horror,From Beyond,R,Jeffrey Combs,H.P. Lovecraft,24/10/1986,4500000,1261000,86,6.7,16636,1986
TriStar Pictures,USA,Francis Ford Coppola,Comedy,Peggy Sue Got Married,PG-13,Kathleen Turner,Jerry Leichtling,10/10/1986,18000000,41382841,103,6.3,28529,1986
Freddie Fields Productions,USA,Brian Gibson,Horror,Poltergeist II: The Other Side,PG-13,JoBeth Williams,Mark Victor,23/05/1986,19000000,40996665,91,5.7,20669,1986
Empire Pictures,USA,John Carl Buechler,Comedy,Troll,PG-13,Michael Moriarty,Ed Naha,17/01/1986,1100000,5450815,82,4.3,7569,1986
Metro-Goldwyn-Mayer (MGM),USA,Peter Hyams,Action,Running Scared,R,Gregory Hines,Gary DeVore,27/06/1986,0,38500726,107,6.5,9344,1986
Hawn / Sylbert Movie Company,USA,Michael Ritchie,Comedy,Wildcats,R,Goldie Hawn,Ezra Sacks,14/02/1986,0,26285544,106,5.9,10239,1986
Maljack Productions,USA,John McNaughton,Biography,Henry: Portrait of a Serial Killer,NOT RATED,Michael Rooker,Richard Fire,07/09/1990,111000,609939,83,7,25367,1986
ABC Motion Pictures,USA,Harry Winer,Adventure,SpaceCamp,PG,Kate Capshaw,Clifford Green,06/06/1986,18000000,9697739,107,5.6,11484,1986
Orion Pictures,USA,Woody Allen,Comedy,Hannah and Her Sisters,PG-13,Mia Farrow,Woody Allen,14/03/1986,6400000,40084041,107,8,56988,1986
Walt Disney Pictures,USA,Ron Clements,Animation,The Great Mouse Detective,G,Vincent Price,Peter Young,02/07/1986,14000000,38600000,74,7.2,36539,1986
De Laurentiis Entertainment Group (DEG),USA,John Irvin,Action,Raw Deal,R,Arnold Schwarzenegger,Luciano Vincenzoni,06/06/1986,8500000,16209459,106,5.5,24851,1986
Sunbow Productions,USA,Nelson Shin,Animation,The Transformers: The Movie,PG,Orson Welles,Ron Friedman,08/08/1986,6000000,5849647,84,7.3,33609,1986
TaliaFilm II Productions,USA,Hal Needham,Drama,Rad,PG,Bart Conner,Sam Bernard,28/03/1986,0,2015882,91,7.2,4039,1986
TriStar Pictures,USA,Fred Dekker,Comedy,Night of the Creeps,R,Jason Lively,Fred Dekker,22/08/1986,5000000,591366,88,6.8,16077,1986
Cannon Pictures,USA,Tobe Hooper,Horror,Invaders from Mars,PG,Karen Black,Richard Blake,06/06/1986,12000000,4884663,100,5.5,5878,1986
Columbia Pictures Corporation,USA,Walter Hill,Drama,Crossroads,R,Ralph Macchio,John Fusco,14/03/1986,0,5839031,99,7.1,11415,1986
De Haven Productions,UK,David Anspaugh,Drama,Hoosiers,PG,Gene Hackman,Angelo Pizzo,27/02/1987,6000000,28607524,114,7.6,36604,1986
Svenska Filminstitutet (SFI),Sweden,Andrei Tarkovsky,Drama,Sacrifice,PG,Erland Josephson,Andrei Tarkovsky,1986-11,0,300653,149,8.1,16571,1986
Cinema '85,USA,James Foley,Crime,At Close Range,R,Sean Penn,Elliott Lewitt,18/04/1986,6500000,2347000,111,7,11607,1986
Blueline Productions,USA,Peter Markle,Drama,Youngblood,R,Rob Lowe,Peter Markle,31/01/1986,0,15448384,110,6.1,10412,1986
Seasonal Film Corporation,USA,Corey Yuen,Action,"No Retreat, No Surrender",PG,Kurt McKinney,See-Yuen Ng,02/05/1986,0,4662137,85,5.6,12803,1986
Universal Pictures,USA,Anthony Perkins,Horror,Psicosis III,R,Anthony Perkins,Charles Edward Pogue,02/07/1986,0,14481606,93,5.3,10022,1986
Paramount Pictures,USA,Mike Nichols,Comedy,Heartburn,R,Meryl Streep,Nora Ephron,25/07/1986,20000000,25314289,108,6.1,7570,1986
Warner Bros.,USA,Michael Chapman,Adventure,The Clan of the Cave Bear,R,Daryl Hannah,Jean M. Auel,17/01/1986,15000000,1953732,98,5.3,5340,1986
Golan-Globus Productions,USA,Menahem Golan,Action,The Delta Force,R,Chuck Norris,James Bruner,14/02/1986,12000000,17768900,125,5.6,15819,1986
Warner Bros.,USA,Wes Craven,Drama,Deadly Friend,R,Matthew Labyorteaux,Diana Henstell,10/10/1986,0,8988731,91,5.5,5419,1986
TriStar Pictures,USA,Edward Zwick,Comedy,About Last Night...,R,Rob Lowe,David Mamet,02/07/1986,0,38702310,113,6.2,12307,1986
Balcor Film Investors,USA,Steve Miner,Comedy,Soul Man,PG-13,C. Thomas Howell,Carol Black,24/10/1986,0,27820000,104,5.2,6440,1986
A&M; Films,USA,Savage Steve Holland,Comedy,One Crazy Summer,PG,John Cusack,Savage Steve Holland,08/08/1986,0,13431806,93,6.4,11581,1986
De Laurentiis Entertainment Group (DEG),USA,Charles Martin Smith,Comedy,Trick or Treat,R,Marc Price,Rhet Topham,24/10/1986,0,6797218,98,5.8,4585,1986
Paramount Pictures,USA,Ron Howard,Comedy,Gung Ho,PG-13,Michael Keaton,Edwin Blum,14/03/1986,18000000,36611610,112,6.2,9965,1986
American Filmworks,USA,Sidney Lumet,Crime,The Morning After,R,Jane Fonda,James Cresson,25/12/1986,0,25147055,103,6,4943,1986
Police Academy Productions,USA,Jerry Paris,Comedy,Police Academy 3: Back in Training,PG,Steve Guttenberg,Neal Israel,21/03/1986,0,43579163,83,5.2,35443,1986
40 Acres & A Mule Filmworks,USA,Spike Lee,Comedy,She's Gotta Have It,R,Tracy Camilla Johns,Spike Lee,08/08/1986,175000,7137502,84,6.6,5257,1986
Touchstone Pictures,USA,Jim Abrahams,Comedy,Ruthless People,R,Bette Midler,Dale Launer,27/06/1986,0,71624879,93,6.9,22554,1986
Delphi V Productions,USA,Paul Michael Glaser,Action,Band of the Hand,R,Stephen Lang,Leo Garen,11/04/1986,8700000,4865912,109,6.3,2297,1986
Cannon Group,USA,John Frankenheimer,Crime,52 Pick-Up,R,Roy Scheider,Elmore Leonard,07/11/1986,0,5186646,110,6.4,3866,1986
Paramount Pictures,USA,Randa Haines,Drama,Children of a Lesser God,R,William Hurt,Mark Medoff,31/10/1986,0,31853080,119,7.2,12538,1986
